,state,Population2020,CrimeReported,CrimeRate,CrimeViolent,CrimeViolentRate,CrimeNonViolent,CrimeNonViolentRate,deathRatePer100k2021,GunViolenceTotalDeaths2021,GunViolenceTotalDeaths2020,deathRatePer100k,DomesticViolenceAgainstWomen,DomesticViolenceAgainstMen,PovertyRatesPopulationBelowPovertyLevel,PovertyRatesPercentOfPopulationBelowPovertyLevel,LiteracyRatesPercofPopulationWithLowLiteracy,LiteracyRatesPercof4thGradersBelowBasicReadingLevel,College,HighSchool
0,Alabama,4921532.0,26596.0,4727.065,22322.0,453.558,210322.0,4273.507,25.56857014139322,1315.0,1141.0,22.185352495307733,37.5,29.5,794326.0,16.1,23.9,41.0,26.2,86.9
1,Alaska,731158.0,10647.0,5358.896,6126.0,837.849,33056.0,4521.047,24.811324870217685,182.0,175.0,23.85704314444008,43.3,30.2,75165.0,10.5,12.7,49.0,30.0,93.1
2,Arizona,7421401.0,40435.0,4940.118,35980.0,484.814,330646.0,4455.304,18.207273198733787,1365.0,1265.0,16.87340703032838,42.6,33.4,908961.0,12.8,23.4,39.0,30.3,87.9
3,Arkansas,3030522.0,25590.0,5898.753,20363.0,671.93,158400.0,5226.822,22.595870588463804,698.0,673.0,21.78656290263057,40.8,34.8,480153.0,16.3,23.1,42.0,23.8,87.2
4,California,39368078.0,178304.0,4719.9,174026.0,442.049,1684108.0,4277.852,9.195220234010126,3576.0,3449.0,8.868656204446568,34.9,31.1,4733036.0,12.3,28.4,42.0,34.7,83.9
5,Colorado,5807719.0,30238.0,6090.756,24570.0,423.058,329164.0,5667.698,17.990656694477224,1064.0,922.0,15.589648000289474,36.8,30.5,553272.0,9.7,16.6,32.0,41.6,92.1
6,Connecticut,3557006.0,9589.0,3311.746,6459.0,181.585,111340.0,3130.161,6.8401603465975445,248.0,219.0,6.040302886713154,37.7,33.9,354166.0,10.1,17.2,36.0,40.0,90.9
7,Delaware,986809.0,8185.0,4354.642,4262.0,431.897,38710.0,3922.745,15.129447746430456,158.0,135.0,12.92705978334248,37.6,32.7,113450.0,11.6,20.3,47.0,32.7,90.6
8,District of Columbia,712816.0,14113.0,7985.932,7127.0,999.837,49798.0,6986.095,,,,,37.29122994112116,24.4,105007.0,16.5,,,59.8,91.9
9,Florida,21733312.0,86907.0,3922.458,83368.0,383.595,769112.0,3538.862,13.675180344161026,3142.0,3041.0,13.23558988752186,37.9,29.3,2805433.0,13.1,23.7,29.0,30.5,88.5
10,Georgia,10710017.0,46865.0,4414.802,42850.0,400.093,429976.0,4014.709,19.739255205600493,2200.0,1897.0,17.020621420465517,37.4,30.4,1476348.0,14.0,23.6,39.0,32.2,87.9
11,Hawaii,1407006.0,8399.0,5076.88,3576.0,254.157,67856.0,4822.723,4.961991841367217,71.0,50.0,3.494360451667055,34.7,24.1,156735.0,11.2,15.9,36.0,33.6,92.5
