"state","HighSchool"
"Alabama",86.9
"Alaska",93.1
"Arizona",87.9
"Arkansas",87.2
"California",83.9
"Colorado",92.1
"Connecticut",90.9
"Delaware",90.6
"District of Columbia",91.9
"Florida",88.5
"Georgia",87.9
"Hawaii",92.5
"Idaho",91.3
"Illinois",89.7
"Indiana",89.3
"Iowa",92.5
"Kansas",91.4
"Kentucky",87.2
"Louisiana",85.9
"Maine",93.2
"Maryland",90.6
"Massachusetts",91.1
"Michigan",91.3
"Minnesota",93.4
"Mississippi",85.3
"Missouri",90.6
"Montana",94
"Nebraska",91.6
"Nevada",86.9
"New Hampshire",93.3
"New Jersey",90.3
"New Mexico",86.5
"New York",87.2
"North Carolina",88.5
"North Dakota",93.1
"Ohio",90.8
"Oklahoma",88.6
"Oregon",91.1
"Pennsylvania",91
"Rhode Island",89.2
"South Carolina",88.3
"South Dakota",92.2
"Tennessee",88.2
"Texas",84.4
"Utah",93
"Vermont",93.5
"Virginia",90.3
"Washington",91.7
"West Virginia",87.6
"Wisconsin",92.6
"Wyoming",93.6
"United States",88.51203704751622
